symbol,snapshot_time,spot_price,spot_change_pct,total_ce_oi,total_pe_oi,pcr_oi,total_ce_vol,total_pe_vol,pcr_vol,atm_ce_iv,atm_pe_iv,iv_skew,atm_ce_ltp,atm_pe_ltp,atm_strike,dte,expiry_date,signal,score,confidence,ml_bullish_probability,regime,top_pick_type,top_pick_strike,top_pick_ltp,net_gex,zero_gamma_level,iv_rank,max_pain_strike,oi_concentration_ratio,net_delta_flow,oi_velocity_score,oi_velocity_conf,uoa_detected,uoa_strike,uoa_side,outcome_1h,outcome_eod,outcome_next,pick_ltp_1h,pick_ltp_eod,pick_pnl_pct_1h,pick_pnl_pct_eod,pick_pnl_pct_next,trade_result,data_source
COALINDIA,2026-02-12 15:30:00,413.6813049316406,-0.9687,45331650.0,22461300.0,0.49548825158581256,35218.0,15827.0,0.4494008745527855,29.2779430727934,32.343197806928316,3.0652547341349177,8.55,9.9,415,12,2026-02-24,BEARISH,95,0.30942037243216736,0.5,TRENDING,PE,415.0,9.9,179032315.61,437.5,96.4,450.0,0.3094,9695.5,0.9527,0.95,1,415.0,CE,,413.6813049316406,403.6144104003906,,9.9,,0,70.71,WIN,EOD_HISTORICAL
COALINDIA,2026-02-13 15:30:00,403.6144104003906,-2.4335,47498400.0,21868650.0,0.4604081400636653,52721.0,28822.0,0.5466891750915195,23.388911874785943,24.48726945406017,1.098357579274225,6.25,7.15,405,11,2026-02-24,BEARISH,84,0.2979809208673692,0.5,TRENDING,PE,400.0,4.6,10553011.98,445.0,24.1,450.0,0.298,11949.5,0.9163,0.95,1,400.0,PE,,403.6144104003906,416.98760986328125,,4.6,,0,144.57,WIN,EOD_HISTORICAL
COALINDIA,2026-02-16 15:30:00,416.98760986328125,3.3134,45449100.0,23055300.0,0.5072773718291451,89863.0,37714.0,0.4196832956834292,26.391899086287378,25.06437442588475,-1.3275246604026272,7.85,4.95,415,8,2026-02-24,BULLISH,70,0.30837033268270747,0.5,TRENDING,CE,420.0,5.55,208391390.94,430.0,43.3,447.5,0.3084,26074.5,-0.8607,0.95,1,420.0,CE,,416.98760986328125,416.04998779296875,,5.55,,0,411.71,WIN,EOD_HISTORICAL
COALINDIA,2026-02-17 15:30:00,416.04998779296875,-0.2249,43227000.0,22018500.0,0.5093691442848219,31930.0,12671.0,0.39683683056686503,22.574040790015378,23.307172221353632,0.7331314313382542,6.0,4.6,415,7,2026-02-24,BEARISH,82,0.3146480433940927,0.5,TRENDING,PE,410.0,2.7,149830219.6,430.0,16.1,445.0,0.3146,9629.5,0.392,0.95,1,410.0,PE,,416.04998779296875,418.0,,2.7,,0,159.26,WIN,EOD_HISTORICAL
COALINDIA,2026-02-18 15:30:00,418.0,0.4687,40008600.0,21065400.0,0.5265217978134701,28122.0,14585.0,0.5186330986416329,19.75090847506851,23.27764117098079,3.52673269591228,3.5,5.8,420,6,2026-02-24,BEARISH,80,0.31779665305181637,0.5,TRENDING,PE,420.0,5.8,165727569.05,430.0,12.5,445.0,0.3178,6768.5,-0.5797,0.95,1,422.5,CE,,418.0,416.1499938964844,,5.8,,0,229.31,WIN,EOD_HISTORICAL
COALINDIA,2026-02-19 15:30:00,416.1499938964844,-0.4426,37241100.0,19098450.0,0.5128325962444719,28777.0,14753.0,0.5126663655002259,17.982647094006623,21.73833788430345,3.7556907902968284,4.3,3.5,415,5,2026-02-24,BEARISH,80,0.3223562306709525,0.5,TRENDING,PE,410.0,1.7,94003802.69,430.0,9.1,445.0,0.3224,7012.0,0.6905,0.95,1,410.0,PE,,416.1499938964844,423.54998779296875,,1.7,,0,-85.29,LOSS,EOD_HISTORICAL
COALINDIA,2026-02-20 15:30:00,423.54998779296875,1.7782,32085450.0,15120000.0,0.47124163756469056,74492.0,34465.0,0.46266713204102455,17.44444266359764,22.868108526407767,5.423665862810125,2.55,4.65,425,4,2026-02-24,BEARISH,81,0.31217523434353756,0.5,TRENDING,PE,425.0,4.65,286379014.89,425.0,11.8,450.0,0.3122,20013.5,-0.2703,0.95,1,420.0,CE,,423.54998779296875,426.0,,4.65,,0,361.29,WIN,EOD_HISTORICAL
COALINDIA,2026-02-23 15:30:00,426.0,0.5784,26562600.0,12379500.0,0.4660500101646676,22319.0,12640.0,0.5663336170975403,29.571378921438246,36.69026869905773,7.118889777619486,3.2,2.75,425,1,2026-02-24,BEARISH,95,0.5,0.5,EXPIRY,PE,425.0,2.75,240749370.69,430.0,97.1,455.0,0.3234,4839.5,-0.1668,0.95,1,420.0,CE,,426.0,430.95001220703125,,2.75,,0,176.36,WIN,EOD_HISTORICAL
COALINDIA,2026-02-24 15:30:00,430.95001220703125,1.162,21971250.0,10824300.0,0.4926574500768049,10592.0,3955.0,0.3733950151057402,0.1,16.029147843068312,15.929147843068312,0.9,0.6,430,0,2026-02-24,BEARISH,79,0.5,0.5,EXPIRY,PE,430.0,0.6,209644868.32,427.5,0.0,460.0,0.3457,3318.5,-0.6486,0.95,1,430.0,CE,,430.95001220703125,438.6000061035156,,0.6,,0,3900.0,WIN,EOD_HISTORICAL
COALINDIA,2026-02-25 15:30:00,438.6000061035156,1.7751,11337300.0,9132750.0,0.8055489402238628,22765.0,10327.0,0.4536349659565122,19.606624036733226,21.661582404070757,2.0549583673375302,10.9,10.8,440,33,2026-03-30,BULLISH,81,0.3789464179255012,0.5,NEUTRAL,CE,440.0,10.9,93808001.66,440.0,18.9,435.0,0.3789,6219.0,0.5407,0.95,1,440.0,CE,,438.6000061035156,433.5,,10.9,,0,16.06,NEUTRAL,EOD_HISTORICAL
COALINDIA,2026-02-26 15:30:00,433.5,-1.1628,12927600.0,10014300.0,0.7746449456975772,18051.0,12057.0,0.6679408343028087,20.251205942505674,22.349117518467438,2.0979115759617635,10.85,10.95,435,32,2026-03-30,BULLISH,80,0.3590554839286587,0.5,NEUTRAL,CE,435.0,10.85,99178986.47,440.0,21.1,440.0,0.3591,2997.0,0.6823,0.95,1,435.0,CE,,433.5,430.6499938964844,,10.85,,0,95.85,WIN,EOD_HISTORICAL
COALINDIA,2026-02-27 15:30:00,430.6499938964844,-0.6574,16571250.0,12276900.0,0.7408553971486762,22122.0,11311.0,0.5113009673628063,22.203224847089825,21.733745738470276,-0.46947910861954867,12.65,9.4,430,31,2026-03-30,BULLISH,78,0.32905497100435954,0.5,NEUTRAL,CE,432.5,11.45,107546673.26,445.0,25.6,440.0,0.3291,5405.5,0.1888,0.95,1,432.5,CE,,430.6499938964844,426.25,,11.45,,0,50.66,WIN,EOD_HISTORICAL
COALINDIA,2026-03-02 15:30:00,426.25,-1.0217,19394100.0,12868200.0,0.6635110677989698,24549.0,15433.0,0.628661045256426,22.99281322007298,25.38529860084442,2.39248538077144,12.55,10.3,425,28,2026-03-30,BEARISH,83,0.3216479741385933,0.5,NEUTRAL,PE,425.0,10.3,134516712.94,440.0,40.0,440.0,0.3216,4558.0,0.8156,0.95,1,430.0,CE,,426.25,,,10.3,,0,0.0,,EOD_HISTORICAL
COALINDIA,2026-03-04 15:30:00,435.1499938964844,2.088,25042500.0,15357600.0,0.6132614555256065,73293.0,28595.0,0.3901463987011038,28.11636647822404,28.57084861119282,0.4544821329687778,14.1,12.15,435,26,2026-03-30,BULLISH,66,0.30156364086116894,0.5,NEUTRAL,CE,440.0,11.7,196936478.41,440.0,75.6,440.0,0.3016,22349.0,0.3603,0.95,1,440.0,CE,,435.1499938964844,449.3999938964844,,11.7,,0,55.98,WIN,EOD_HISTORICAL
COALINDIA,2026-03-05 15:30:00,449.3999938964844,3.2747,28090800.0,20827800.0,0.7414455978469819,132934.0,57392.0,0.43173304045616623,25.806792630106322,27.835677347724797,2.0288847176184746,12.8,12.35,450,25,2026-03-30,BULLISH,71,0.2562325577894942,0.5,NEUTRAL,CE,455.0,10.55,201886204.07,455.0,61.9,450.0,0.2562,37771.0,0.5502,0.95,1,455.0,CE,,449.3999938964844,440.45001220703125,,10.55,,0,-35.07,LOSS,EOD_HISTORICAL
COALINDIA,2026-03-06 15:30:00,440.45001220703125,-1.9915,29718900.0,17778150.0,0.5982102298537294,29284.0,19965.0,0.6817716158994673,25.70535675526723,28.109486198850593,2.404129443583365,12.75,11.5,440,24,2026-03-30,BEARISH,89,0.2837942429900693,0.5,TRENDING,PE,440.0,11.5,225771675.51,450.0,62.8,455.0,0.2838,4659.5,0.9604,0.95,1,445.0,CE,,440.45001220703125,437.6499938964844,,11.5,,0,56.96,WIN,EOD_HISTORICAL
COALINDIA,2026-03-09 15:30:00,437.6499938964844,-0.6357,33562350.0,18470700.0,0.5503398897872169,66674.0,29460.0,0.4418513963464019,31.861220921515976,32.32070681102987,0.45948588951389624,13.0,13.9,440,21,2026-03-30,BULLISH,60,0.27142298844196155,0.5,TRENDING,CE,440.0,13.0,255580846.07,450.0,95.5,455.0,0.2714,18607.0,0.6193,0.95,1,440.0,CE,,437.6499938964844,443.54998779296875,,13.0,,0,89.62,WIN,EOD_HISTORICAL
COALINDIA,2026-03-10 15:30:00,443.54998779296875,1.3481,32733450.0,18870300.0,0.5764836887037572,34670.0,15271.0,0.44046726276319587,27.12964778581729,26.844822761430475,-0.2848250243868158,11.3,11.05,445,20,2026-03-30,BULLISH,68,0.2835830613706532,0.5,TRENDING,CE,450.0,9.15,303602080.57,450.0,62.2,455.0,0.2836,9699.5,0.7931,0.95,1,450.0,CE,,443.54998779296875,446.75,,9.15,,0,93.99,WIN,EOD_HISTORICAL
COALINDIA,2026-03-11 15:30:00,446.75,0.7215,33103350.0,21454200.0,0.6480975490395987,48548.0,23270.0,0.4793194364340447,28.389992986138278,28.27353152734023,-0.11646145879804948,13.2,9.9,445,19,2026-03-30,BULLISH,67,0.2928797281203607,0.5,NEUTRAL,CE,450.0,10.7,265894373.04,455.0,73.9,455.0,0.2929,12639.0,-0.9058,0.95,1,450.0,CE,,446.75,470.1000061035156,,10.7,,0,135.51,WIN,EOD_HISTORICAL
COALINDIA,2026-03-12 15:30:00,470.1000061035156,5.2266,35749350.0,26287200.0,0.7353196631547148,148620.0,59688.0,0.4016148566814695,28.821250723739144,31.722920178868076,2.901669455128932,12.8,12.4,470,18,2026-03-30,BULLISH,65,0.26358806772422094,0.5,NEUTRAL,CE,470.0,12.8,359891797.5,465.0,89.4,460.0,0.2636,44466.0,0.0631,0.95,1,470.0,CE,,470.1000061035156,467.0,,12.8,,0,6.64,NEUTRAL,EOD_HISTORICAL
COALINDIA,2026-03-13 15:30:00,467.0,-0.6594,36752400.0,27382050.0,0.7450411401704379,101048.0,45420.0,0.44948935159528147,31.141933302738362,31.407268204365007,0.26533490162664464,14.25,10.95,465,17,2026-03-30,BULLISH,65,0.25974169965311156,0.5,NEUTRAL,CE,470.0,11.85,310541463.62,470.0,93.8,465.0,0.2597,27814.0,0.1045,0.95,1,470.0,CE,,467.0,460.29998779296875,,11.85,,0,22.78,WIN,EOD_HISTORICAL
COALINDIA,2026-03-16 15:30:00,460.29998779296875,-1.4347,36529650.0,26310150.0,0.7202409549502938,46476.0,24175.0,0.5201609432825545,28.301114882824308,30.24149864063735,1.9403837578130414,10.9,10.15,460,14,2026-03-30,BULLISH,67,0.2670350140953348,0.5,NEUTRAL,CE,465.0,8.55,272150039.54,470.0,77.6,465.0,0.267,11150.5,-0.6134,0.95,1,465.0,CE,,460.29998779296875,462.25,,8.55,,0,-5.85,NEUTRAL,EOD_HISTORICAL
COALINDIA,2026-03-17 15:30:00,462.25,0.4236,36551250.0,25613550.0,0.7007571560480148,46318.0,25136.0,0.5426831901204715,25.507396474458933,27.296243438660557,1.7888469642016247,10.6,7.9,460,13,2026-03-30,BEARISH,84,0.26320509015119364,0.5,NEUTRAL,PE,457.5,6.75,328276635.63,465.0,46.0,465.0,0.2632,10591.0,-0.0167,0.95,1,457.5,PE,,462.25,455.20001220703125,,6.75,,0,157.04,WIN,EOD_HISTORICAL
COALINDIA,2026-03-18 15:30:00,455.20001220703125,-1.5251,37280250.0,25037100.0,0.671591526344378,53319.0,33288.0,0.6243177854048275,24.026671469706713,26.22417290077163,2.197501431064918,8.5,8.05,455,12,2026-03-30,BEARISH,83,0.2634650468764104,0.5,NEUTRAL,PE,455.0,8.05,276380101.87,460.0,41.2,465.0,0.2635,10015.5,0.8511,0.95,1,460.0,CE,,455.20001220703125,454.20001220703125,,8.05,,0,86.96,WIN,EOD_HISTORICAL
COALINDIA,2026-03-19 15:30:00,454.20001220703125,-0.2197,38807100.0,23899050.0,0.6158422041327489,69861.0,28986.0,0.41490960621806156,27.67782376953068,28.442499654633224,0.7646758851025446,8.75,8.9,455,11,2026-03-30,BULLISH,68,0.2641644604845179,0.5,NEUTRAL,CE,460.0,6.5,323563508.82,460.0,65.4,467.5,0.2642,20437.5,0.8368,0.95,1,460.0,CE,,454.20001220703125,,,6.5,,0,0.0,,EOD_HISTORICAL
DIVISLAB,2026-01-01 15:30:00,6344.0,0.0,545300.0,308900.0,0.5664771685310838,5732.0,2829.0,0.4935450104675506,20.90001475426625,19.43447474458957,-1.4655400096766833,155.45,117.3,6345,26,2026-01-27,BULLISH,70,0.5151344812615435,0.5,TRENDING,CE,6400.0,130.85,84226283.51,6500.0,50.0,6500.0,0.5151,1451.5,0.4446,0.95,1,6400.0,CE,,6344.0,6392.5,,130.85,,0,15.44,NEUTRAL,EOD_HISTORICAL
DIVISLAB,2026-01-02 15:30:00,6392.5,0.7645,672100.0,341000.0,0.5073649754500819,8173.0,1609.0,0.1968677352257433,20.28515313247341,20.192425293797058,-0.09272783867635326,151.05,119.55,6390,25,2026-01-27,BEARISH,95,0.519638734635303,0.5,TRENDING,PE,6300.0,80.0,115584500.12,6500.0,100.0,6600.0,0.5196,3282.0,0.0,0.95,1,6300.0,PE,,6392.5,6363.5,,80.0,,0,121.06,WIN,EOD_HISTORICAL
